Geography,Major field of,Highest certifi,Total - Sex,  Male,  Female
Quebec / Québec,  Physical and life sciences and technologies,    University certificate or diploma below bachelor level,4375,2195,2185
Quebec / Québec,  Physical and life sciences and technologies,"    University certificate, diploma or degree at bachelor level or above",77865,40710,37155
Quebec / Québec,"  Mathematics, computer and information sciences","Total - Highest certificate, diploma or degree",152105,104845,47255
Quebec / Québec,"  Mathematics, computer and information sciences","  No certificate, diploma or degree",0,0,0
Quebec / Québec,"  Mathematics, computer and information sciences",  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,"  Mathematics, computer and information sciences","  Postsecondary certificate, diploma or degree",152105,104850,47255
Quebec / Québec,"  Mathematics, computer and information sciences",    Apprenticeship or trades certificate or diploma,19620,12870,6755
Quebec / Québec,"  Mathematics, computer and information sciences","    College, CEGEP or other non-university certificate or diploma",68165,47705,20460
Quebec / Québec,"  Mathematics, computer and information sciences",    University certificate or diploma below bachelor level,9710,6520,3195
Quebec / Québec,"  Mathematics, computer and information sciences","    University certificate, diploma or degree at bachelor level or above",54610,37755,16850
Quebec / Québec,"  Architecture, engineering, and related technologies","Total - Highest certificate, diploma or degree",828400,758350,70055
Quebec / Québec,"  Architecture, engineering, and related technologies","  No certificate, diploma or degree",0,0,0
Quebec / Québec,"  Architecture, engineering, and related technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,"  Architecture, engineering, and related technologies","  Postsecondary certificate, diploma or degree",828400,758350,70055
Quebec / Québec,"  Architecture, engineering, and related technologies",    Apprenticeship or trades certificate or diploma,496550,476335,20220
Quebec / Québec,"  Architecture, engineering, and related technologies","    College, CEGEP or other non-university certificate or diploma",162140,146375,15765
Quebec / Québec,"  Architecture, engineering, and related technologies",    University certificate or diploma below bachelor level,14075,11975,2100
Quebec / Québec,"  Architecture, engineering, and related technologies","    University certificate, diploma or degree at bachelor level or above",155640,123670,31965
Quebec / Québec,"  Agriculture, natural resources and conservation","Total - Highest certificate, diploma or degree",85480,56895,28585
Quebec / Québec,"  Agriculture, natural resources and conservation","  No certificate, diploma or degree",0,0,0
Quebec / Québec,"  Agriculture, natural resources and conservation",  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,"  Agriculture, natural resources and conservation","  Postsecondary certificate, diploma or degree",85485,56895,28585
Quebec / Québec,"  Agriculture, natural resources and conservation",    Apprenticeship or trades certificate or diploma,35015,25770,9250
Quebec / Québec,"  Agriculture, natural resources and conservation","    College, CEGEP or other non-university certificate or diploma",27560,18775,8780
Quebec / Québec,"  Agriculture, natural resources and conservation",    University certificate or diploma below bachelor level,2930,1685,1240
Quebec / Québec,"  Agriculture, natural resources and conservation","    University certificate, diploma or degree at bachelor level or above",19980,10670,9315
Quebec / Québec,  Health and related fields,"Total - Highest certificate, diploma or degree",480225,95450,384780
Quebec / Québec,  Health and related fields,"  No certificate, diploma or degree",0,0,0
Quebec / Québec,  Health and related fields,  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,  Health and related fields,"  Postsecondary certificate, diploma or degree",480225,95455,384780
Quebec / Québec,  Health and related fields,    Apprenticeship or trades certificate or diploma,126980,14235,112750
Quebec / Québec,  Health and related fields,"    College, CEGEP or other non-university certificate or diploma",167550,27305,140245
Quebec / Québec,  Health and related fields,    University certificate or diploma below bachelor level,29305,5115,24190
Quebec / Québec,  Health and related fields,"    University certificate, diploma or degree at bachelor level or above",156390,48800,107595
Quebec / Québec,"  Personal, protective and transportation services","Total - Highest certificate, diploma or degree",290005,151070,138935
Quebec / Québec,"  Personal, protective and transportation services","  No certificate, diploma or degree",0,0,0
Quebec / Québec,"  Personal, protective and transportation services",  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,"  Personal, protective and transportation services","  Postsecondary certificate, diploma or degree",290005,151070,138935
Quebec / Québec,"  Personal, protective and transportation services",    Apprenticeship or trades certificate or diploma,222020,105420,116600
Quebec / Québec,"  Personal, protective and transportation services","    College, CEGEP or other non-university certificate or diploma",60860,40005,20855
Quebec / Québec,"  Personal, protective and transportation services",    University certificate or diploma below bachelor level,4335,3510,825
Quebec / Québec,"  Personal, protective and transportation services","    University certificate, diploma or degree at bachelor level or above",2790,2135,660
Quebec / Québec,  Other fields of study,"Total - Highest certificate, diploma or degree",1055,380,680
Quebec / Québec,  Other fields of study,"  No certificate, diploma or degree",0,0,0
Quebec / Québec,  Other fields of study,  Secondary (high) school diploma or equivalency certificate,0,0,0
Quebec / Québec,  Other fields of study,"  Postsecondary certificate, diploma or degree",1055,375,675
Quebec / Québec,  Other fields of study,    Apprenticeship or trades certificate or diploma,135,100,35
Quebec / Québec,  Other fields of study,"    College, CEGEP or other non-university certificate or diploma",25,0,15
Quebec / Québec,  Other fields of study,    University certificate or diploma below bachelor level,250,80,175
Quebec / Québec,  Other fields of study,"    University certificate, diploma or degree at bachelor level or above",645,190,460
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"Total - Highest certificate, diploma or degree",11038440,5342755,5695680
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  No certificate, diploma or degree",1935355,961685,973675
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,  Secondary (high) school diploma or equivalency certificate,3026095,1485325,1540775
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"  Postsecondary certificate, diploma or degree",6076985,2895745,3181235
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    Apprenticeship or trades certificate or diploma,664175,471055,193120
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    College, CEGEP or other non-university certificate or diploma",2298715,981785,1316930
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,    University certificate or diploma below bachelor level,242005,107065,134940
Ontario,Total - Major field of study - Classification of Instructional Programs (CIP) 2016,"    University certificate, diploma or degree at bachelor level or above",2872090,1335845,1536245
Ontario,  Education,"Total - Highest certificate, diploma or degree",349745,79245,270500
Ontario,  Education,"  No certificate, diploma or degree",0,0,0
Ontario,  Education,  Secondary (high) school diploma or equivalency certificate,0,0,0
Ontario,  Education,"  Postsecondary certificate, diploma or degree",349745,79245,270500
Ontario,  Education,    Apprenticeship or trades certificate or diploma,3040,960,2080
Ontario,  Education,"    College, CEGEP or other non-university certificate or diploma",55480,6815,48665
Ontario,  Education,    University certificate or diploma below bachelor level,21445,4985,16460
Ontario,  Education,"    University certificate, diploma or degree at bachelor level or above",269785,66485,203295
Ontario,"  Visual and performing arts, and communications technologies","Total - Highest certificate, diploma or degree",246070,109950,136120
Ontario,"  Visual and performing arts, and communications technologies","  No certificate, diploma or degree",0,0,0
Ontario,"  Visual and performing arts, and communications technologies",  Secondary (high) school diploma or equivalency certificate,0,0,0
Ontario,"  Visual and performing arts, and communications technologies","  Postsecondary certificate, diploma or degree",246070,109950,136120
Ontario,"  Visual and performing arts, and communications technologies",    Apprenticeship or trades certificate or diploma,16235,11035,5195
Ontario,"  Visual and performing arts, and communications technologies","    College, CEGEP or other non-university certificate or diploma",127715,62730,64985
Ontario,"  Visual and performing arts, and communications technologies",    University certificate or diploma below bachelor level,11130,4225,6910
Ontario,"  Visual and performing arts, and communications technologies","    University certificate, diploma or degree at bachelor level or above",90995,31960,59030
